Function,Register,Read/Write status,Write data1,Write data2,Write data3,Write data4,Write data5,Write data1,Write data2,Remark,
Read version number,0x01,Read,0x01,,,,,1-255,,"Read the version number of the MCU(coprocessor), read data 1: version number",
ontrol RGB Light,0x02,Write,R(0-255),G(0-255),B(0-255),,,,,Control RGB color，data 1：R，data 2：G，data 3：B,
Key mode,0x03,Write,0-1,,,,,,,"Data 1: Default mode=0, K1 button is to reset the robot arm; mode=1, study mode, press K1 button to study action, RGB light will become breathing light in study mode",
Main control board model register,0x04,Write,01-07,,,,,,,Main board：01：STC51，02：STM32，03：microbit，04：arduino，05：raspberryPi，06：jetsonNano，07：Other,
Restart MCU,0x05,Write,0x01,,,,,,,Restart MCU,
Buzzer,0x06,Write,0x00-0xFF,,,,,,,"Control the buzzer, 
data 1:=0: turn off the buzzer,=0xff: turn on the buzzer,=1: buzzer whistle for 0.1 second, =2: buzzer whistle for 0.2 second.... 
Maximum value=50, turn on the buzzer and sound for 5 seconds.",
,,,,,,,,,,,
,,,,,,,,,,,
Control bus servo 1,0x11,Write,0x00-0x0F,0x00-0xFF,0x00-0x0F,0x00-0xFF,,,,"Control a single servo, 
data 1: high 8-bit data of the servo position, data 2: low 8-bit data of the servo position, the two data together are the position data of the servo, the range is: 96-4000.
data 3: high 8-bit data of running time high data, data 4: low 8-bit data of running time high data, the two data together are the running time,  the default is 500 (500 milliseconds), and 0 means the fastest speed.",
Control bus servo 2,0x12,Write,0x00-0x0F,0x00-0xFF,0x00-0x0F,0x00-0xFF,,,,,
Control bus servo 3,0x13,Write,0x00-0x0F,0x00-0xFF,0x00-0x0F,0x00-0xFF,,,,,
Control bus servo 4,0x14,Write,0x00-0x0F,0x00-0xFF,0x00-0x0F,0x00-0xFF,,,,,
Control bus servo 5,0x15,Write,0x00-0x0F,0x00-0xFF,0x00-0x0F,0x00-0xFF,,,,,
Control bus servo 6,0x16,Write,0x00-0x0F,0x00-0xFF,0x00-0x0F,0x00-0xFF,,,,,
Control all bus servo,0x17,Write,0x00-0x0F,0x00-0xFF,0x00-0x0F,0x00-0xFF,,,,"Control all servos at the same time, 
data 1: high 8-bit data of the servo position, data 2: low 8-bit data of the servo position, the two data together are the position data of the servo, the range is: 96-4000.
data 3: high 8-bit data of running time high data, data 4: low 8-bit data of running time high data, the two data together are the running time,  the default is 500 (500 milliseconds), and 0 means the fastest speed.",
Set bus servo ID number,0x18,Write,1-250,,,,,,,"Set the ID number of the servo. When this command is executed, all the connected bus servos will be set to the same ID number.",
Control the specific servo position,0x19,Write,1-250,0x00-0x0F,0x00-0xFF,0x00-0x0F,0x00-0xFF,,,"Control thespecific ID servo:
data 1: high 8-bit data of the servo position, data 2: low 8-bit data of the servo position, the two data together are the position data of the servo, the range is: 96-4000.
data 3: high 8-bit data of running time high data, data 4: low 8-bit data of running time high data, the two data together are the running time,  the default is 500 (500 milliseconds), and 0 means the fastest speed.",
Bus servo torque switch,0x1A,Write,0 and !0,,,,,,,"Bus servo torque switch: 0 is closed, !0 is open",
